"gID";"T";"x";"y";"itemsInCraneID"
0;12218.0;545;5;null
0;12232.0;475;5;null
0;12350.0;475;5;null
0;12482.0;475;5;null
0;12512.0;475;5;null
0;12736.0;475;5;null
0;12754.0;385;15;null
0;12764.0;385;15;2436
0;12840.0;5;5;2436
0;12850.0;5;5;null
0;13018.0;5;5;null
0;13258.0;5;5;null
0;13432.0;5;5;null
0;13606.0;5;5;null
0;13748.0;5;5;null
0;14530.0;5;5;null
0;14698.0;5;5;null
0;14978.0;5;5;null
0;15022.0;5;5;null
0;15566.0;5;5;null
0;15676.0;555;35;null
0;15686.0;555;35;1287
0;15702.0;475;25;1287
0;15712.0;475;25;null
0;15844.0;475;25;null
0;15976.0;475;25;null
0;16012.0;475;25;null
0;16172.0;475;25;null
0;16232.0;475;25;null
0;16292.0;475;25;null
0;16350.0;185;5;null
0;16360.0;185;5;2184
0;16376.0;105;15;2184
0;16386.0;105;15;null
0;16708.0;105;15;null
0;17198.0;105;15;null
0;17218.0;5;15;null
0;17442.0;5;15;null
0;17446.0;-15;15;null
0;18690.0;-15;15;null
0;18824.0;655;65;null
0;18834.0;655;65;1278
0;18928.0;185;55;1278
0;18938.0;185;55;null
0;19032.0;185;55;null
0;19302.0;185;55;null
0;19366.0;505;5;null
0;19376.0;505;5;2617
0;19464.0;65;15;2617
0;19474.0;65;15;null
0;19602.0;65;15;null
1;-1.0;500;0;null
1;0.0;500;0;null
1;0.0;500;0;null
1;33.0;665;95;null
1;43.0;665;95;552
1;81.0;855;85;552
1;91.0;855;85;null
1;302.0;855;85;null
1;340.0;665;95;null
1;350.0;665;95;154
1;396.0;895;85;154
1;406.0;895;85;null
1;452.0;665;95;null
1;462.0;665;95;67
1;532.0;1015;5;67
1;542.0;1015;5;null
1;666.0;395;85;null
1;676.0;395;85;2497
1;800.0;1015;5;2497
1;810.0;1015;5;null
1;849.0;1015;5;null
1;1109.0;1015;5;null
1;1309.0;1015;5;null
1;1399.0;1015;5;null
1;1541.0;1015;5;null
1;1717.0;1015;5;null
1;1825.0;1015;5;null
1;2067.0;1015;5;null
1;2305.0;1015;5;null
1;2375.0;1015;5;null
1;2521.0;1015;5;null
1;2761.0;1015;5;null
1;2907.0;1015;5;null
1;2947.0;1015;5;null
1;2977.0;1015;5;null
1;3123.0;1015;5;null
1;3369.0;1015;5;null
1;3595.0;1015;5;null
1;3813.0;1015;5;null
1;4057.0;1015;5;null
1;4335.0;1015;5;null
1;4617.0;1015;5;null
1;4907.0;1015;5;null
1;5159.0;1015;5;null
1;5363.0;1015;5;null
1;5553.0;1015;5;null
1;5799.0;1015;5;null
1;5859.0;715;5;null
1;5869.0;715;5;2627
1;5929.0;1015;5;2627
1;5939.0;1015;5;null
1;6041.0;1015;5;null
1;6207.0;1015;5;null
1;6443.0;1015;5;null
