"gID";"T";"x";"y";"itemsInCraneID"
0;-1.0;0;0;null
0;0.0;0;0;null
0;3.0;-15;5;null
0;13.0;-15;5;2600
0;117.0;505;5;2600
0;127.0;505;5;null
0;231.0;-15;5;null
0;241.0;-15;5;2601
0;327.0;415;5;2601
0;337.0;415;5;null
0;423.0;-15;5;null
0;433.0;-15;5;2602
0;517.0;405;5;2602
0;527.0;405;5;null
0;611.0;-15;5;null
0;621.0;-15;5;2603
0;697.0;365;5;2603
0;707.0;365;5;null
0;783.0;-15;5;null
0;793.0;-15;5;2604
0;845.0;245;5;2604
0;855.0;245;5;null
0;907.0;-15;5;null
0;917.0;-15;5;2605
0;967.0;235;5;2605
0;977.0;235;5;null
0;1027.0;-15;5;null
0;1037.0;-15;5;2606
0;1225.0;925;5;2606
0;1235.0;925;5;null
0;1423.0;-15;5;null
0;1433.0;-15;5;2607
0;1537.0;505;5;2607
0;1547.0;505;5;null
0;1651.0;-15;5;null
0;1661.0;-15;5;2608
0;1749.0;425;5;2608
0;1759.0;425;5;null
0;1847.0;-15;5;null
0;1857.0;-15;5;2609
0;1943.0;415;5;2609
0;1953.0;415;5;null
0;2039.0;-15;5;null
0;2049.0;-15;5;2610
0;2133.0;405;5;2610
0;2143.0;405;5;null
0;2227.0;-15;5;null
0;2237.0;-15;5;2611
0;2319.0;395;5;2611
0;2329.0;395;5;null
0;2411.0;-15;5;null
0;2421.0;-15;5;2612
0;2551.0;635;5;2612
0;2561.0;635;5;null
0;2691.0;-15;5;null
0;2701.0;-15;5;2613
0;2777.0;365;5;2613
0;2787.0;365;5;null
0;2863.0;-15;5;null
0;2873.0;-15;5;2614
0;2947.0;355;5;2614
0;2957.0;355;5;null
0;3031.0;-15;5;null
0;3041.0;-15;5;2615
0;3105.0;305;5;2615
0;3115.0;305;5;null
0;3179.0;-15;5;null
0;3189.0;-15;5;2616
0;3333.0;705;5;2616
0;3343.0;705;5;null
0;3487.0;-15;5;null
0;3497.0;-15;5;2617
0;3553.0;265;5;2617
0;3563.0;265;5;null
0;3619.0;-15;5;null
0;3629.0;-15;5;2618
0;3681.0;245;5;2618
