"gID";"T";"x";"y";"itemsInCraneID"
0;-1.0;0;0;null
0;0.0;0;0;null
0;3.0;-15;5;null
0;13.0;-15;5;2561
0;98.0;410;35;2561
0;108.0;410;35;null
0;193.0;-15;5;null
0;203.0;-15;5;2562
0;310.0;520;35;2562
0;320.0;520;35;null
0;427.0;-15;5;null
0;437.0;-15;5;2563
0;546.0;530;35;2563
0;556.0;530;35;null
0;665.0;-15;5;null
0;675.0;-15;5;2564
0;836.0;790;35;2564
0;846.0;790;35;null
0;1007.0;-15;5;null
0;1017.0;-15;5;2565
0;1092.0;360;35;2565
0;1102.0;360;35;null
0;1177.0;-15;5;null
0;1187.0;-15;5;2566
0;1242.0;260;35;2566
0;1252.0;260;35;null
0;1307.0;-15;5;null
0;1317.0;-15;5;2567
0;1514.0;970;35;2567
0;1524.0;970;35;null
0;1721.0;-15;5;null
0;1731.0;-15;5;2568
0;1833.0;495;35;2568
0;1843.0;495;35;null
0;1945.0;-15;5;null
0;1955.0;-15;5;2569
0;2061.0;515;35;2569
0;2071.0;515;35;null
0;2177.0;-15;5;null
0;2187.0;-15;5;2570
0;2295.0;525;35;2570
0;2305.0;525;35;null
0;2413.0;-15;5;null
0;2423.0;-15;5;2571
0;2533.0;535;35;2571
0;2543.0;535;35;null
0;2549.0;505;35;null
0;2653.0;-15;5;null
0;2663.0;-15;5;2572
0;2716.0;250;35;2572
0;2726.0;250;35;null
0;2779.0;-15;5;null
0;2789.0;-15;5;2573
0;2897.0;525;35;2573
0;2907.0;525;35;null
0;3015.0;-15;5;null
0;3025.0;-15;5;2574
0;3137.0;545;35;2574
0;3147.0;545;35;null
0;3259.0;-15;5;null
0;3269.0;-15;5;2575
0;3302.0;150;35;2575
0;3312.0;150;35;null
0;3345.0;-15;5;null
0;3355.0;-15;5;2576
0;3386.0;140;35;2576
0;3396.0;140;35;null
0;3427.0;-15;5;null
0;3437.0;-15;5;2577
0;3557.0;585;35;2577
0;3567.0;585;35;null
0;3687.0;-15;5;null
0;3697.0;-15;5;2578
0;3825.0;625;35;2578
0;3835.0;625;35;null
0;3963.0;-15;5;null
