"gID";"T";"x";"y";"itemsInCraneID"
0;10763.0;885;35;null
0;10943.0;-15;5;null
0;10953.0;-15;5;2605
0;10979.0;115;35;2605
0;10989.0;115;35;null
0;11015.0;-15;5;null
0;11025.0;-15;5;2606
0;11049.0;105;35;2606
0;11059.0;105;35;null
0;11083.0;-15;5;null
0;11093.0;-15;5;2607
0;11281.0;925;35;2607
0;11291.0;925;35;null
0;11479.0;-15;5;null
0;11489.0;-15;5;2608
0;11679.0;935;35;2608
0;11689.0;935;35;null
0;11879.0;-15;5;null
0;11889.0;-15;5;2609
0;11901.0;45;35;2609
0;11911.0;45;35;null
0;11923.0;-15;5;null
0;11933.0;-15;5;2610
0;12129.0;965;35;2610
0;12139.0;965;35;null
0;12139.0;965;35;null
0;12149.0;965;35;2610
0;12159.0;1015;5;2610
0;12169.0;1015;5;null
0;12273.0;495;15;null
0;12283.0;495;15;2309
0;12305.0;605;25;2309
0;12315.0;605;25;null
0;12338.0;490;15;null
0;12348.0;490;15;1087
0;12397.0;245;25;1087
0;12407.0;245;25;null
0;12459.0;505;15;null
0;12469.0;505;15;2137
0;12549.0;905;25;2137
0;12559.0;905;25;null
0;12640.0;500;15;null
0;12650.0;500;15;1967
0;12689.0;695;5;1967
0;12699.0;695;5;null
0;12739.0;495;15;null
0;12749.0;495;15;10
0;12853.0;1015;5;10
0;12863.0;1015;5;null
0;12961.0;525;35;null
0;12971.0;525;35;2573
0;13069.0;1015;5;2573
0;13079.0;1015;5;null
0;13229.0;265;35;null
0;13239.0;265;35;2591
0;13389.0;1015;5;2591
0;13399.0;1015;5;null
0;13495.0;535;35;null
0;13505.0;535;35;2574
0;13601.0;1015;5;2574
0;13611.0;1015;5;null
0;13806.0;40;25;null
0;13816.0;40;25;2205
0;13877.0;345;15;2205
0;13887.0;345;15;null
0;13949.0;35;25;null
0;13959.0;35;25;1928
0;13961.0;25;35;1928
0;13971.0;25;35;null
0;13972.0;30;25;null
0;13982.0;30;25;1578
0;14075.0;495;15;1578
0;14085.0;495;15;null
0;14175.0;45;25;null
0;14185.0;45;25;1954
0;14192.0;80;15;1954
0;14202.0;80;15;null
0;14210.0;40;25;null
0;14220.0;40;25;1086
0;14265.0;265;35;1086
0;14275.0;265;35;null
0;14321.0;35;25;null
0;14331.0;35;25;1055
0;14527.0;1015;5;1055
0;14537.0;1015;5;null
0;14709.0;155;35;null
0;14719.0;155;35;2601
0;14891.0;1015;5;2601
0;14901.0;1015;5;null
0;14963.0;705;35;null
0;14973.0;705;35;2589
0;15035.0;1015;5;2589
0;15045.0;1015;5;null
0;15237.0;55;25;null
0;15247.0;55;25;1789
0;15439.0;1015;5;1789
0;15449.0;1015;5;null
0;15623.0;145;35;null
0;15633.0;145;35;2602
0;15637.0;125;45;2602
0;15647.0;125;45;null
0;15652.0;150;35;null
0;15662.0;150;35;2568
0;15835.0;1015;5;2568
0;15845.0;1015;5;null
0;15967.0;405;35;null
0;15977.0;405;35;2579
0;16099.0;1015;5;2579
0;16109.0;1015;5;null
0;16267.0;225;55;null
0;16277.0;225;55;1825
0;16292.0;300;65;1825
0;16302.0;300;65;null
0;16315.0;235;55;null
0;16325.0;235;55;1931
0;16369.0;455;45;1931
0;16379.0;455;45;null
0;16424.0;230;55;null
0;16434.0;230;55;1220
0;16454.0;330;65;1220
0;16464.0;330;65;null
0;16482.0;240;55;null
0;16492.0;240;55;1150
0;16512.0;340;65;1150
0;16522.0;340;65;null
0;16543.0;235;55;null
0;16553.0;235;55;988
0;16709.0;1015;5;988
0;16719.0;1015;5;null
0;16895.0;135;35;null
0;16905.0;135;35;2603
0;16925.0;35;25;2603
0;16935.0;35;25;null
0;16956.0;140;35;null
0;16966.0;140;35;2569
0;17141.0;1015;5;2569
0;17151.0;1015;5;null
0;17279.0;375;45;null
0;17289.0;375;45;2371
0;17297.0;415;55;2371
0;17307.0;415;55;null
0;17316.0;370;45;null
0;17326.0;370;45;1263
0;17353.0;235;55;1263
0;17363.0;235;55;null
0;17394.0;390;45;null
0;17404.0;390;45;2527
0;17452.0;150;35;2527
0;17462.0;150;35;null
0;17509.0;385;45;null
0;17519.0;385;45;2516
0;17524.0;410;55;2516
0;17534.0;410;55;null
0;17540.0;380;45;null
0;17550.0;380;45;1295
0;17558.0;420;55;1295
0;17568.0;420;55;null
0;17577.0;375;45;null
0;17587.0;375;45;1246
0;17715.0;1015;5;1246
0;17725.0;1015;5;null
0;17829.0;495;35;null
0;17839.0;495;35;2571
0;17943.0;1015;5;2571
0;17953.0;1015;5;null
0;18073.0;415;35;null
0;18083.0;415;35;2578
0;18203.0;1015;5;2578
0;18213.0;1015;5;null
0;18287.0;645;35;null
0;18297.0;645;35;2583
0;18371.0;1015;5;2583
0;18381.0;1015;5;null
0;18575.0;45;35;null
0;18585.0;45;35;2609
0;18779.0;1015;5;2609
0;18789.0;1015;5;null
0;18829.0;815;35;null
0;18839.0;815;35;2251
0;18856.0;900;25;2251
0;18866.0;900;25;null
0;18881.0;825;35;null
0;18891.0;825;35;2600
0;18981.0;375;45;2600
0;18991.0;375;45;null
0;19080.0;820;35;null
0;19090.0;820;35;2056
0;19129.0;1015;5;2056
0;19139.0;1015;5;null
0;19157.0;925;55;null
0;19167.0;925;55;2329
0;19176.0;970;45;2329
0;19186.0;970;45;null
0;19192.0;940;55;null
0;19202.0;940;55;2113
0;19203.0;940;65;2113
0;19213.0;940;65;null
0;19214.0;935;55;null
0;19224.0;935;55;2012
0;19225.0;930;65;2012
0;19235.0;930;65;null
0;19236.0;930;55;null
0;19246.0;930;55;1777
0;19263.0;1015;5;1777
0;19273.0;1015;5;null
0;19319.0;785;35;null
0;19329.0;785;35;2596
0;19332.0;770;45;2596
0;19342.0;770;45;null
0;19347.0;795;35;null
0;19357.0;795;35;2597
0;19376.0;700;25;2597
0;19386.0;700;25;null
0;19404.0;790;35;null
0;19414.0;790;35;2567
0;19459.0;1015;5;2567
0;19469.0;1015;5;null
0;19650.0;110;45;null
0;19660.0;110;45;621
0;19662.0;100;55;621
0;19672.0;100;55;null
0;19675.0;115;45;null
0;19685.0;115;45;116
0;19865.0;1015;5;116
0;19875.0;1015;5;null
0;19996.0;410;35;null
0;20006.0;410;35;2563
0;20127.0;1015;5;2563
0;20137.0;1015;5;null
0;20269.0;355;35;null
0;20279.0;355;35;2584
0;20411.0;1015;5;2584
0;20421.0;1015;5;null
0;20588.0;180;35;null
0;20598.0;180;35;2157
0;20599.0;180;25;2157
0;20609.0;180;25;null
0;20610.0;185;35;null
0;20620.0;185;35;1913
0;20631.0;130;25;1913
0;20641.0;130;25;null
0;20654.0;195;35;null
0;20664.0;195;35;1833
0;20680.0;115;45;1833
0;20690.0;115;45;null
0;20705.0;190;35;null
0;20715.0;190;35;1236
0;20880.0;1015;5;1236
0;20890.0;1015;5;null
0;20921.0;860;75;null
0;20931.0;860;75;2556
0;20937.0;890;65;2556
